,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.469,0.87,9,0.342,0.0278,0.0,0.313,0.652,86.622,171023,4,BTS,2019-04-12,Intro : Persona,['intro-persona']
1,0.645,0.862,11,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4,BTS,2019-04-12,Boy With Luv (feat. Halsey),['boy-with']
2,0.58,0.858,8,0.114,0.125,0.0,0.0502,0.475,174.039,224225,3,BTS,2019-04-12,Mikrokosmos,['']
3,0.638,0.703,7,0.444,0.0104,0.0,0.132,0.261,105.766,226321,4,BTS,2019-04-12,Make It Right,['make-it-right']
4,0.633,0.799,7,0.0429,0.0142,0.0,0.194,0.535,142.991,234178,4,BTS,2019-04-12,HOME,['home']
5,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,227275,4,BTS,2019-04-12,Jamais Vu,['']
6,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,249215,4,BTS,2019-04-12,Dionysus,['dionysus']
7,0.637,0.799,2,0.0338,0.394,0.0,0.0921,0.562,104.995,228615,4,BTS,2018-08-24,Euphoria,['euphoria']
8,0.723,0.906,1,0.279,0.0907,0.0,0.0771,0.398,125.019,225221,4,BTS,2018-08-24,Trivia 起 : Just Dance,['trivia-just-dance']
9,0.347,0.578,8,0.0626,0.445,0.0,0.231,0.226,86.73,276708,5,BTS,2018-08-24,Serendipity (Full Length Edition),['serendipity-length']
10,0.599,0.774,1,0.0541,0.0223,0.0,0.0669,0.696,129.819,223123,4,BTS,2018-08-24,DNA,['dna']
11,0.612,0.844,5,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,BTS,2018-08-24,Dimple,['dimple']
12,0.761,0.761,5,0.0897,0.246,0.0,0.103,0.483,121.972,225698,4,BTS,2018-08-24,Trivia 承 : Love,['trivia-love']
13,0.481,0.927,3,0.27,0.317,0.0,0.0583,0.448,88.931,228613,4,BTS,2018-08-24,Her,['her']
14,0.775,0.271,1,0.092,0.554,0.00285,0.112,0.204,104.001,196998,3,BTS,2018-08-24,Singularity,['singularity']
15,0.557,0.719,2,0.0372,0.00267,0.0,0.306,0.344,77.501,242334,4,BTS,2018-08-24,FAKE LOVE,['fake-love']
16,0.57,0.422,1,0.0422,0.372,0.0,0.127,0.169,113.007,242293,4,BTS,2018-08-24,The Truth Untold,['the-truth-untold']
17,0.707,0.791,5,0.035,0.181,0.0,0.102,0.678,106.985,246334,4,BTS,2018-08-24,Trivia 轉 : Seesaw,['trivia-seesaw']
18,0.711,0.903,6,0.247,0.327,0.0,0.0887,0.467,140.015,284981,4,BTS,2018-08-24,Tear,['tear']
19,0.509,0.558,2,0.0276,0.29,0.0,0.131,0.327,135.879,240362,4,BTS,2018-08-24,Epiphany,['epiphany']
20,0.51,0.842,11,0.103,0.00852,0.0,0.346,0.302,87.605,240339,4,BTS,2018-08-24,I'm Fine,['fine']
21,0.734,0.855,9,0.118,0.00481,0.0,0.123,0.422,126.035,222732,4,BTS,2018-08-24,IDOL,['idol']
22,0.569,0.793,1,0.0405,0.189,0.0,0.111,0.45,108.048,251280,4,BTS,2018-08-24,Answer : Love Myself,['answer-love-myself']
23,0.541,0.661,1,0.0889,0.103,0.0,0.0779,0.285,149.926,275696,4,BTS,2018-08-24,Magic Shop,['magic-shop']
24,0.651,0.756,8,0.0762,0.0298,0.0,0.396,0.473,121.96,227191,4,BTS,2018-08-24,Best Of Me,['best-of-me']
25,0.769,0.817,0,0.0339,0.0268,9.95e-05,0.084,0.866,139.979,218615,4,BTS,2018-08-24,Airplane pt.2,['airplane']
26,0.856,0.617,10,0.0841,0.171,0.0,0.0857,0.759,136.082,235780,4,BTS,2018-08-24,Go Go,['go-go']
27,0.813,0.875,1,0.0918,0.0237,0.0,0.288,0.756,99.004,232966,4,BTS,2018-08-24,Anpanman,['']
28,0.667,0.889,6,0.0918,0.00912,0.0,0.0816,0.541,169.959,238193,4,BTS,2018-08-24,MIC Drop,['mic-drop']
29,0.488,0.955,1,0.134,0.0352,0.0,0.301,0.48,129.972,247483,4,BTS,2018-08-24,DNA (Pedal 2 LA Mix),['dna-2-la']
30,0.463,0.804,2,0.0391,0.0573,0.0,0.432,0.352,154.913,238494,4,BTS,2018-08-24,FAKE LOVE (Rocking Vibe Mix),['fake-love-vibe']
31,0.606,0.848,11,0.184,0.0114,1.06e-06,0.206,0.54,170.01,307676,4,BTS,2018-08-24,MIC Drop (Steve Aoki Remix) [Full Length Edition],['mic-drop-length']
32,0.709,0.857,9,0.0881,0.00219,0.0,0.103,0.446,126.038,260234,4,BTS,2018-08-24,IDOL,['idol']
33,0.775,0.271,1,0.092,0.554,0.00285,0.112,0.204,104.001,196998,3,BTS,2018-05-18,Intro: Singularity,['singularity']
34,0.557,0.719,2,0.0372,0.00267,0.0,0.306,0.344,77.501,242334,4,BTS,2018-05-18,FAKE LOVE,['fake-love']
35,0.57,0.422,1,0.0422,0.372,0.0,0.127,0.169,113.007,242293,4,BTS,2018-05-18,The Truth Untold,['the-truth-untold']
36,0.664,0.688,11,0.0543,0.153,9.14e-05,0.173,0.65,106.022,230063,4,BTS,2018-05-18,134340,['134340']
37,0.519,0.828,5,0.365,0.214,0.0,0.0571,0.929,139.413,211224,4,BTS,2018-05-18,Paradise,['paradise']
38,0.636,0.876,9,0.0617,0.0487,0.0,0.0728,0.759,149.932,221529,4,BTS,2018-05-18,Love Maze,['love-maze']
39,0.541,0.661,1,0.0889,0.103,0.0,0.0779,0.285,149.926,275696,4,BTS,2018-05-18,Magic Shop,['magic-shop']
40,0.769,0.817,0,0.0339,0.0268,9.95e-05,0.084,0.866,139.979,218615,4,BTS,2018-05-18,Airplane pt.2,['airplane']
41,0.813,0.875,1,0.0918,0.0237,0.0,0.288,0.756,99.004,232966,4,BTS,2018-05-18,Anpanman,['']
42,0.656,0.883,9,0.0737,0.0238,0.0,0.0481,0.46,129.947,281521,4,BTS,2018-05-18,So What,['so-what']
43,0.711,0.903,6,0.247,0.327,0.0,0.0887,0.467,140.015,284981,4,BTS,2018-05-18,Outro: Tear,['tear']
44,0.589,0.824,10,0.26,0.552,0.0275,0.133,0.207,115.3,86053,4,BTS,2018-04-03,INTRO : Ringwanderung,['intro']
45,0.659,0.769,0,0.0831,0.0366,0.0,0.405,0.398,122.006,227920,4,BTS,2018-04-03,Best Of Me - Japanese ver.,['best-of-me-japanese']
46,0.61,0.892,0,0.108,0.0704,0.0,0.315,0.576,93.039,216707,4,BTS,2018-04-03,血、汗、涙 - Japanese ver.,['japanese']
47,0.574,0.761,1,0.0849,0.00335,0.0,0.0645,0.597,129.817,223707,4,BTS,2018-04-03,DNA - Japanese ver.,['dna-japanese']
48,0.598,0.938,0,0.143,0.00191,0.0,0.88,0.672,110.021,233880,4,BTS,2018-04-03,Not Today - Japanese ver.,['not-today-japanese']
49,0.664,0.913,3,0.148,0.0136,0.0,0.1,0.622,169.974,238227,4,BTS,2018-04-03,MIC Drop - Japanese ver.,['mic-drop-japanese']
50,0.62,0.778,8,0.0724,0.116,0.0,0.312,0.386,147.012,227413,4,BTS,2018-04-03,Don't Leave Me,['leave-me']
